8|16|24|32|40|48

bc            
SSD Bandwidth  0.034 1.665 2.098 2.341 2.534 2.634
DRAM Bandwidth 2.378 1.421 1.069 0.843 0.657 0.537

bfs-dense     
SSD Bandwidth  0.183   nan 3.781 4.334   nan 4.868
DRAM Bandwidth 5.294   nan 2.167 1.620   nan 1.083

radix         
SSD Bandwidth  0.116   nan 0.785 1.044 1.223 1.344
DRAM Bandwidth 0.538   nan 0.802 0.574 0.414 0.305

srad          
SSD Bandwidth  0.523   nan   nan   nan 1.789 1.808
DRAM Bandwidth 0.522   nan   nan   nan 0.171 0.166

tpcc          
SSD Bandwidth  0.267 0.567 0.687 0.730 0.752 0.788
DRAM Bandwidth 0.415 0.284 0.221 0.185 0.163 0.126

ycsb-a        
SSD Bandwidth  0.255 1.046 1.285   nan 1.422 1.472
DRAM Bandwidth 1.244 0.664 0.419   nan 0.262 0.262

ycsb-b        
SSD Bandwidth  0.234   nan   nan   nan 1.318 1.358
DRAM Bandwidth 0.873   nan   nan   nan 0.398 0.368
