Base-CSSD|SkyByte-P|SkyByte-W|SkyByte-WP|SkyByte-Full

bc          
Host DRAM       0.001   28.448    0.001   27.839   28.241
CXL Protocol   39.999   15.263   39.999   15.792   15.443
Indexing       71.999   27.473   70.759   27.485   26.623
SSD DRAM       45.999   17.552   45.999   18.161   17.759
Flash        3015.214 1768.497  365.743  250.874  157.439

bfs-dense   
Host DRAM       0.001   38.425    0.001   38.425   39.803
CXL Protocol   39.999    6.587   39.999    6.587    5.389
Indexing       71.999   11.856   70.334   10.191    7.973
SSD DRAM       45.999    7.575   45.999    7.575    6.197
Flash        3440.306 3081.188  832.332  893.758    1.089

dlrm        
Host DRAM       0.108   31.161    0.023   29.359   30.321
CXL Protocol   39.981   12.904   39.981   14.471   13.634
Indexing       71.966   23.227   51.323   23.182   21.552
SSD DRAM       45.978   14.839   45.978   16.641   15.679
Flash        2009.005 1518.645  299.261  244.816  197.323

radix       
Host DRAM       0.012   40.244    0.012   34.921   34.386
CXL Protocol   39.988    5.005   39.988    9.634   10.099
Indexing       71.979    9.010   62.439    7.814    7.694
SSD DRAM       45.987    5.756   45.987   11.079   11.614
Flash         432.498  170.720  124.698  129.897   40.197

srad        
Host DRAM       0.000   38.881    0.000   31.537   31.192
CXL Protocol   40.000    6.190   40.000   12.577   12.876
Indexing       72.000   11.143   58.510    9.152    8.581
SSD DRAM       46.000    7.119   46.000   14.463   14.808
Flash        2652.887 2087.760  241.433  254.118   32.968

tpcc        
Host DRAM       0.184   33.751    0.183   21.842   25.760
CXL Protocol   39.842   10.651   39.842   21.007   17.619
Indexing       71.716   19.172   37.887   17.477   16.494
SSD DRAM       45.818   12.249   45.818   24.158   20.262
Flash        1276.144 1268.310  563.953  527.268   68.253

ycsb        
Host DRAM       0.003   35.002    0.007   34.857   35.251
CXL Protocol   39.998    9.563   39.994    9.683    9.347
Indexing       71.996   17.214   69.203   16.976   16.066
SSD DRAM       45.997   10.998   45.993   11.135   10.749
Flash         316.005  339.605  154.831  128.466   79.829
