RR|Random|CFS

bc
Context Switch  3170000.000 3170000.000 3170000.000
Bounded by Compute         5415193.000 5429164.000 5660092.000
Bounded by Memory          195305431.000 195396125.000 196878943.000

radix
Context Switch  33477000.000 33477000.000 33477000.000
Bounded by Compute         50265897.000 51373658.000 51373658.000
Bounded by Memory          283810763.000 284381989.000 285918041.000

srad
Context Switch  64121690.000 63121690.000 62121690.000
Bounded by Compute         19050888.000 20450358.000 21664160.000
Bounded by Memory          122519999.000 127896596.000 158164193.000

tpcc
Context Switch  8579967.000 12442723.000 12277333.000
Bounded by Compute         25114669.000 26712740.000 27656859.000
Bounded by Memory          56365250.000 57214110.000 55602162.000
